"","UNITID","XGRCOHRT","GRCOHRT","XUGENTER","UGENTERN","XPGRCOHR","PGRCOHRT","XRRFTCT","RRFTCT","XRRFTEX","RRFTEX","XRRFTIN","RRFTIN","XRRFTCTA","RRFTCTA","XRET_NMF","RET_NMF","XRET_PCF","RET_PCF","XRRPTCT","RRPTCT","XRRPTEX","RRPTEX","XRRPTIN","RRPTIN","XRRPTCTA","RRPTCTA","XRET_NMP","RET_NMP","XRET_PCP","RET_PCP","XSTUFACR","STUFACR","Year"
"111",105747,"R",484,"R",2548,"R",19,"R",673,"R",0,"Z",0,"R",673,"R",442,"R",66,"R",343,"R",0,"Z",0,"R",343,"R",154,"R",45,"R",19,2017
"112",105792,"R",444,"R",1271,"R",35,"R",441,"R",0,"Z",0,"R",441,"R",278,"R",63,"R",257,"R",0,"Z",0,"R",257,"R",110,"R",43,"R",18,2017
"113",105899,"R",152,"R",331,"R",46,"R",129,"R",0,"R",0,"R",129,"R",85,"R",66,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",16,2017
"114",106041,"A",NA,"A",NA,"A",NA,"R",381,"R",2,"Z",0,"R",379,"R",305,"R",80,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",40,2017
"115",106102,"A",NA,"A",NA,"A",NA,"R",53,"R",0,"R",0,"R",53,"R",7,"R",13,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",11,2017
"116",106111,"A",NA,"A",NA,"A",NA,"R",36,"R",0,"Z",0,"R",36,"R",24,"R",67,"R",14,"R",0,"Z",0,"R",14,"R",4,"R",29,"R",24,2017
"117",106148,"R",529,"R",2503,"R",21,"R",425,"R",0,"R",0,"R",425,"R",250,"R",59,"R",483,"R",0,"R",0,"R",483,"R",212,"R",44,"R",19,2017
"118",106245,"R",717,"R",2307,"R",31,"R",768,"Z",0,"Z",0,"R",768,"R",533,"R",69,"R",37,"Z",0,"Z",0,"R",37,"R",16,"R",43,"R",14,2017
"119",106263,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",10,2017
"120",106306,"R",163,"R",238,"R",68,"R",5,"R",0,"R",0,"R",5,"R",2,"R",40,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",20,2017
"121",106315,"A",NA,"A",NA,"A",NA,"R",6,"R",0,"R",0,"R",6,"R",4,"R",67,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",20,2017
"122",106324,"A",NA,"A",NA,"A",NA,"R",11,"R",0,"R",0,"R",11,"R",8,"R",73,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",4,2017
"123",106342,"R",190,"R",231,"R",82,"R",200,"R",0,"R",0,"R",200,"R",123,"R",62,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",13,2017
"124",106351,"A",NA,"A",NA,"A",NA,"R",6,"Z",0,"Z",0,"R",6,"R",3,"R",50,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",20,2017
"125",106360,"A",NA,"A",NA,"A",NA,"R",9,"R",0,"R",0,"R",9,"R",4,"R",44,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",18,2017
"126",106397,"R",5032,"R",6639,"R",76,"R",4938,"R",2,"Z",0,"R",4936,"R",4058,"R",82,"R",29,"R",0,"Z",0,"R",29,"R",18,"R",62,"R",18,2017
"127",106412,"R",507,"R",644,"R",79,"R",763,"R",0,"R",0,"R",763,"R",540,"R",71,"R",9,"R",0,"R",0,"R",9,"R",2,"R",22,"R",15,2017
"128",106449,"R",730,"R",1064,"R",69,"R",565,"R",0,"R",0,"R",565,"R",315,"R",56,"R",45,"R",0,"R",0,"R",45,"R",22,"R",49,"R",17,2017
"129",106458,"R",1405,"R",2279,"R",62,"R",1609,"R",0,"R",0,"R",1609,"R",1172,"R",73,"R",35,"R",0,"R",0,"R",35,"R",9,"R",26,"R",17,2017
"130",106467,"R",1757,"R",2284,"R",77,"R",1548,"R",0,"R",0,"R",1548,"R",1107,"R",72,"R",21,"R",0,"R",0,"R",21,"R",9,"R",43,"R",19,2017
"131",106485,"R",624,"R",1428,"R",44,"R",337,"R",0,"R",0,"R",337,"R",176,"R",52,"R",5,"R",0,"R",0,"R",5,"R",2,"R",40,"R",15,2017
"132",106494,"A",NA,"A",NA,"A",NA,"R",19,"R",0,"R",0,"R",19,"R",11,"R",58,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",15,2017
"133",106546,"R",7,"R",275,"R",3,"R",12,"R",0,"R",0,"R",12,"R",7,"R",58,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",10,2017
"134",106625,"R",309,"R",483,"R",64,"R",327,"R",0,"R",0,"R",327,"R",175,"R",54,"R",50,"R",0,"R",0,"R",50,"R",20,"R",40,"R",15,2017
"135",106704,"R",1927,"R",2679,"R",72,"R",1867,"R",0,"R",0,"R",1867,"R",1347,"R",72,"R",13,"R",0,"R",0,"R",13,"R",8,"R",62,"R",16,2017
"136",106713,"R",136,"R",249,"R",55,"R",125,"R",0,"R",0,"R",125,"R",80,"R",64,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",12,2017
